         10340073 function calls (10076572 primitive calls) in 130.711 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   310527    0.109    0.000    0.203    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:169(iter_child_nodes)
    10017    0.005    0.000    0.166    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:442(blockvisit)
   120204    0.035    0.000    0.165    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:467(writeline)
  10046/6    0.004    0.000    0.145    0.024 //venv/lib/python3.12/site-packages/branca/element.py:202(render)
    10017    0.003    0.000    0.140    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:186(find)
    10017    0.017    0.000    0.136    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:1482(visit_Output)
    10017    0.018    0.000    0.131    0.000 //venv/lib/python3.12/site-packages/jinja2/parser.py:988(subparse)
    10017    0.124    0.000    0.124    0.000 {method 'split' of 're.Pattern' objects}
    10017    0.002    0.000    0.124    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:598(_normalize_newlines)
    10017    0.121    0.000    0.121    0.000 {method 'sub' of 're.Pattern' objects}
    10053    0.002    0.000    0.120    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1378(new_context)
    10053    0.022    0.000    0.118    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:93(new_context)
60102/30051    0.024    0.000    0.113    0.000 //venv/lib/python3.12/site-packages/jinja2/visitor.py:44(generic_visit)
   120204    0.056    0.000    0.096    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:453(write)
     4899    0.004    0.000    0.095    0.000 //main.py:439(calculate_center)
     9798    0.048    0.000    0.090    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.084    0.084 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:756(explain)
    10017    0.003    0.000    0.082    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:1427(_output_const_repr)
    10017    0.006    0.000    0.081    0.000 //venv/lib/python3.12/site-packages/jinja2/idtracking.py:46(analyze_node)
    10017    0.079    0.000    0.079    0.000 {built-in method builtins.repr}
    10017    0.007    0.000    0.071    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:723(write_commons)
   764467    0.063    0.000    0.063    0.000 {method 'isupper' of 'str' objects}
    10017    0.005    0.000    0.062    0.000 //venv/lib/python3.12/site-packages/jinja2/idtracking.py:178(_simple_visit)
    10017    0.015    0.000    0.061    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:231(set_environment)
   380646    0.047    0.000    0.061    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:147(iter_fields)
    10017    0.010    0.000    0.060    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:538(pull_dependencies)
     5000    0.002    0.000    0.060    0.000 //venv/lib/python3.12/site-packages/folium/features.py:857(get_style_map)
  1024806    0.060    0.000    0.060    0.000 {built-in method builtins.len}
    10017    0.006    0.000    0.059    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:142(find_undeclared)
     5000    0.012    0.000    0.058    0.000 //venv/lib/python3.12/site-packages/folium/features.py:865(_create_mapping)
     4999    0.057    0.000    0.057    0.000 //venv/lib/python3.12/site-packages/bson/objectid.py:63(__init__)
    30051    0.036    0.000    0.056    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:129(__init__)
   602693    0.055    0.000    0.055    0.000 {built-in method builtins.isinstance}
   2964/1   52.078    0.018    0.054    0.054 {method 'poll' of 'select.poll' objects}
    19944    0.009    0.000    0.050    0.000 //venv/lib/python3.12/site-packages/branca/element.py:139(add_child)
   425757    0.048    0.000    0.048    0.000 {built-in method builtins.getattr}
   530584    0.048    0.000    0.048    0.000 {method 'lower' of 'str' objects}
     4901    0.001    0.000    0.044    0.000 //venv/lib/python3.12/site-packages/branca/element.py:157(add_to)
    30051    0.008    0.000    0.043    0.000 {method 'extend' of 'collections.deque' objects}
     4899    0.008    0.000    0.043    0.000 //venv/lib/python3.12/site-packages/folium/features.py:654(__init__)
    90153    0.021    0.000    0.042    0.000 //venv/lib/python3.12/site-packages/jinja2/visitor.py:28(get_visitor)
   105046    0.042    0.000    0.042    0.000 {method 'replace' of 'str' objects}
   350595    0.040    0.000    0.040    0.000 {method 'write' of '_io.StringIO' objects}
   454666    0.040    0.000    0.040    0.000 {method 'islower' of 'str' objects}
   120196    0.016    0.000    0.039    0.000 //venv/lib/python3.12/site-packages/jinja2/utils.py:81(from_obj)
    10017    0.006    0.000    0.036    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1213(from_code)
   188124    0.036    0.000    0.036    0.000 {built-in method builtins.hasattr}
   120204    0.018    0.000    0.034    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:474(newline)
   145186    0.020    0.000    0.034    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:482(getattr)
    19947    0.033    0.000    0.033    0.000 {built-in method posix.urandom}
       80    0.024    0.000    0.033    0.000 {built-in method bson._cbson._decode_all}
     5000    0.004    0.000    0.030    0.000 //venv/lib/python3.12/site-packages/folium/features.py:892(_to_key)
    30051    0.015    0.000    0.029    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:459(iter_extensions)
     9905    0.004    0.000    0.029    0.000 //venv/lib/python3.12/site-packages/branca/element.py:712(__init__)
    10017    0.008    0.000    0.027    0.000 //venv/lib/python3.12/site-packages/jinja2/parser.py:998(flush_data)
    10018    0.012    0.000    0.023    0.000 {built-in method builtins.exec}
   539131    0.022    0.000    0.022    0.000 //main.py:445(<genexpr>)
     5002    0.003    0.000    0.021    0.000 //venv/lib/python3.12/site-packages/folium/elements.py:136(__init__)
    85/79    0.000    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:132(__enter__)
   539131    0.020    0.000    0.020    0.000 //main.py:446(<genexpr>)
  10008/2    0.034    0.000    0.020    0.010 //venv/lib/python3.12/site-packages/branca/element.py:716(render)
        2    0.001    0.001    0.020    0.010 //venv/lib/python3.12/site-packages/folium/map.py:215(render)
